1949 	Février 	70 292
1949 	Janvier 	77 153
1948 	Décembre 	71 105
1948 	Novembre 	66 781
1948 	Octobre 	68 475
1948 	Septembre 	70 801
1948 	Août 	72 155
1948 	Juillet 	75 725
1948 	Juin 	71 360
1948 	Mai 	73 476
1948 	Avril 	73 569
1948 	Mars 	78 215
1948 	Février 	73 285
1948 	Janvier 	75 889
1947 	Décembre 	68 318
1947 	Novembre 	65 189
1947 	Octobre 	67 344
1947 	Septembre 	70 028
1947 	Août 	72 383
1947 	Juillet 	75 384
1947 	Juin 	74 571
1947 	Mai 	78 953
1947 	Avril 	75 911
1947 	Mars 	78 247
1947 	Février 	70 065
1947 	Janvier 	74 079
1946 	Décembre 	68 035
1946 	Novembre 	62 949
1946 	Octobre 	64 468
1946 	Septembre 	68 450
1946 	Août 	71 297
1946 	Juillet 	75 104
1946 	Juin 	71 970
1946 	Mai 	76 636
1946 	Avril 	76 400
1946 	Mars 	78 294
1946 	Février 	65 702
1946 	Janvier 	64 599
